"MDATE","RIQI","SENSOR_ID","SENSOR_NO","SENSOR_POSITION_JG","F11","F12","F13","F14","F15","F16","M_RESULT","REMARK1","REMARK2","REMARK3","REMARK4"
"2021-01-11 13:01:29","2021-01-11","SLX05","SLX05","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12861.713","10018.713","3.524","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS01","SLS01","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","17061.071","11316.071","1.97","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS02","SLS02","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11752.807","8225.807","2.332","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS03","SLS03","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12687.456","9542.456","3.034","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS04","SLS04","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12402.813","9353.813","3.068","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS05","SLS05","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12584.636","9741.636","3.427","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS06","SLS06","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12444.699","9487.699","3.209","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS07","SLS07","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11346.543","7780.543","2.182","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS08","SLS08","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","16938.161","11181.161","1.942","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS09","SLS09","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","6930","0","0","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS10","SLS10","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","10854.36","6631.36","1.57","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS11","SLS11","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12334.365","8588.365","2.293","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS12","SLS12","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12718.03","9246.03","2.663","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS13","SLS13","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12732.33","9283.33","2.692","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS14","SLS14","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11645","7948","2.15","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS15","SLS15","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12033.843","7859.843","1.883","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS16","SLS16","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","19744.681","13044.681","1.947","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS17","SLS17","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18008.207","11567.207","1.796","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS18","SLS18","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11195.451","7432.451","1.975","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS19","SLS19","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11854.89","8527.89","2.563","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS20","SLS20","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12713.377","9415.377","2.855","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS21","SLS21","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12032.151","8660.151","2.568","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS22","SLS22","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12284.873","8878.873","2.607","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX06","SLX06","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12439.915","9482.915","3.207","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX07","SLX07","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11097.315","7531.315","2.112","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX08","SLX08","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18628.659","12871.659","2.236","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX09","SLX09","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18458.232","11528.232","1.664","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX10","SLX10","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11346.988","7123.988","1.687","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX11","SLX11","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12617.838","8871.838","2.368","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX12","SLX12","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12440.871","8968.871","2.583","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX13","SLX13","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","13167.139","9718.139","2.818","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX14","SLX14","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12246.186","8549.186","2.312","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX15","SLX15","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11194.735","7020.735","1.682","正常",""
"2021-01-15 05:01:28","2021-01-15","SLX19","SLX19","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12236.592","8909.592","2.678","正常",""
"2021-01-15 05:01:28","2021-01-15","SLX20","SLX20","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12515.934","9217.934","2.795","正常",""
"2021-01-15 05:01:28","2021-01-15","SLX21","SLX21","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12186.725","8814.725","2.614","正常",""
"2021-01-15 05:01:28","2021-01-15","SLX22","SLX22","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12172.076","8766.076","2.574","正常",""
"2021-01-15 05:01:28","2021-01-15","SLX23","SLX23","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11502.868","7560.868","1.918","正常",""
"2021-01-15 05:01:28","2021-01-15","SLX24","SLX24","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18449.936","12195.936","1.95","正常",""
"2021-01-15 05:01:28","2021-01-15","SLS23","SLS23","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11208.495","7266.495","1.843","正常",""
"2021-01-15 05:01:28","2021-01-15","SLS24","SLS24","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","17506.995","11252.995","1.799","正常",""
"2021-01-15 05:01:28","2021-01-15","SLX01","SLX01","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","16433.657","10688.657","1.861","正常",""
"2021-01-15 05:01:28","2021-01-15","SLX02","SLX02","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11532.803","8005.803","2.27","正常",""
"2021-01-15 05:01:28","2021-01-15","SLX03","SLX03","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12690.427","9545.427","3.035","正常",""
"2021-01-15 05:01:28","2021-01-15","SLX04","SLX04","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12704.471","9655.471","3.167","正常",""
"2021-01-15 05:01:28","2021-01-15","SLX05","SLX05","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12861.713","10018.713","3.524","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS01","SLS01","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","17061.071","11316.071","1.97","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS02","SLS02","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11752.807","8225.807","2.332","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS03","SLS03","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12687.456","9542.456","3.034","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS04","SLS04","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12402.813","9353.813","3.068","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS05","SLS05","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12584.636","9741.636","3.427","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS06","SLS06","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12444.699","9487.699","3.209","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS07","SLS07","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11346.543","7780.543","2.182","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS08","SLS08","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","16938.161","11181.161","1.942","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS09","SLS09","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","6930","0","0","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS10","SLS10","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","10854.36","6631.36","1.57","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS11","SLS11","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12334.365","8588.365","2.293","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS12","SLS12","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12718.03","9246.03","2.663","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS13","SLS13","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12732.33","9283.33","2.692","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS14","SLS14","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11645","7948","2.15","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS15","SLS15","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12033.843","7859.843","1.883","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS16","SLS16","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","19744.681","13044.681","1.947","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS17","SLS17","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18008.207","11567.207","1.796","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS18","SLS18","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11195.451","7432.451","1.975","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS19","SLS19","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11854.89","8527.89","2.563","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS20","SLS20","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12713.377","9415.377","2.855","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS21","SLS21","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12032.151","8660.151","2.568","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS22","SLS22","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12284.873","8878.873","2.607","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX06","SLX06","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12439.915","9482.915","3.207","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX07","SLX07","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11097.315","7531.315","2.112","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX08","SLX08","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18628.659","12871.659","2.236","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX09","SLX09","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18458.232","11528.232","1.664","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX10","SLX10","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11346.988","7123.988","1.687","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX11","SLX11","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12617.838","8871.838","2.368","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX12","SLX12","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12440.871","8968.871","2.583","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX13","SLX13","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","13167.139","9718.139","2.818","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX14","SLX14","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12246.186","8549.186","2.312","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX15","SLX15","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11194.735","7020.735","1.682","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX16","SLX16","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18834.101","12134.101","1.811","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX17","SLX17","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18503.684","12062.684","1.873","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX18","SLX18","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","9800.95","6037.95","1.605","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX19","SLX19","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12236.592","8909.592","2.678","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX20","SLX20","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12515.934","9217.934","2.795","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX21","SLX21","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12186.725","8814.725","2.614","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX22","SLX22","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12172.076","8766.076","2.574","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX23","SLX23","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11502.868","7560.868","1.918","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX24","SLX24","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18449.936","12195.936","1.95","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS23","SLS23","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11208.495","7266.495","1.843","正常",""
"2021-01-15 21:01:30","2021-01-15","SLS24","SLS24","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","17506.995","11252.995","1.799","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX01","SLX01","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","16433.657","10688.657","1.861","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX02","SLX02","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11532.803","8005.803","2.27","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX03","SLX03","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12690.427","9545.427","3.035","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX04","SLX04","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12704.471","9655.471","3.167","正常",""
"2021-01-15 21:01:30","2021-01-15","SLX05","SLX05","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12861.713","10018.713","3.524","正常",""
"2021-01-16 05:01:33","2021-01-16","SLS01","SLS01","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","17061.071","11316.071","1.97","正常",""
"2021-01-16 05:01:33","2021-01-16","SLS02","SLS02","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11752.807","8225.807","2.332","正常",""
"2021-01-16 05:01:33","2021-01-16","SLS03","SLS03","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12687.456","9542.456","3.034","正常",""
"2021-01-16 05:01:33","2021-01-16","SLS04","SLS04","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12402.813","9353.813","3.068","正常",""
"2021-01-16 05:01:33","2021-01-16","SLS05","SLS05","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12584.636","9741.636","3.427","正常",""
"2021-01-16 05:01:33","2021-01-16","SLS06","SLS06","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12444.699","9487.699","3.209","正常",""
"2021-01-16 05:01:33","2021-01-16","SLS07","SLS07","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11346.543","7780.543","2.182","正常",""
"2021-01-16 05:01:33","2021-01-16","SLS08","SLS08","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","16938.161","11181.161","1.942","正常",""
"2021-01-16 05:01:33","2021-01-16","SLS09","SLS09","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","6930","0","0","正常",""
"2021-01-16 05:01:33","2021-01-16","SLS10","SLS10","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","10854.36","6631.36","1.57","正常",""
"2021-01-16 05:01:33","2021-01-16","SLS11","SLS11","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12334.365","8588.365","2.293","正常",""
"2021-01-16 05:01:33","2021-01-16","SLS12","SLS12","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12718.03","9246.03","2.663","正常",""
"2021-01-16 05:01:33","2021-01-16","SLS13","SLS13","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12732.33","9283.33","2.692","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX16","SLX16","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18834.101","12134.101","1.811","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX17","SLX17","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18503.684","12062.684","1.873","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX18","SLX18","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","9800.95","6037.95","1.605","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX19","SLX19","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12236.592","8909.592","2.678","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX20","SLX20","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12515.934","9217.934","2.795","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX21","SLX21","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12186.725","8814.725","2.614","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX22","SLX22","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12172.076","8766.076","2.574","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX23","SLX23","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11502.868","7560.868","1.918","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX24","SLX24","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18449.936","12195.936","1.95","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS23","SLS23","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11208.495","7266.495","1.843","正常",""
"2021-01-11 21:01:23","2021-01-11","SLS24","SLS24","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","17506.995","11252.995","1.799","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX01","SLX01","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","16433.657","10688.657","1.861","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX02","SLX02","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11532.803","8005.803","2.27","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX03","SLX03","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12690.427","9545.427","3.035","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX04","SLX04","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12704.471","9655.471","3.167","正常",""
"2021-01-11 21:01:23","2021-01-11","SLX05","SLX05","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12861.713","10018.713","3.524","正常",""
"2021-01-13 13:01:26","2021-01-13","SLS01","SLS01","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","17061.071","11316.071","1.97","正常",""
"2021-01-13 13:01:26","2021-01-13","SLS02","SLS02","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11752.807","8225.807","2.332","正常",""
"2021-01-13 13:01:26","2021-01-13","SLS03","SLS03","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12687.456","9542.456","3.034","正常",""
"2021-01-13 13:01:26","2021-01-13","SLS04","SLS04","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12402.813","9353.813","3.068","正常",""
"2021-01-13 13:01:26","2021-01-13","SLS05","SLS05","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12584.636","9741.636","3.427","正常",""
"2021-01-13 13:01:26","2021-01-13","SLS06","SLS06","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12444.699","9487.699","3.209","正常",""
"2021-01-13 13:01:26","2021-01-13","SLS07","SLS07","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11346.543","7780.543","2.182","正常",""
"2021-01-13 13:01:26","2021-01-13","SLS08","SLS08","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","16938.161","11181.161","1.942","正常",""
"2021-01-13 13:01:26","2021-01-13","SLS09","SLS09","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","6930","0","0","正常",""
